keV	cps	count
 5.412	   0.307	      39
 5.432	   0.283	      36
 5.452	   0.260	      33
 5.472	   0.268	      34
 5.492	   0.299	      38
 5.512	   0.417	      53
 5.532	   0.354	      45
 5.552	   0.339	      43
 5.572	   0.401	      51
 5.592	   0.457	      58
 5.612	   0.441	      56
 5.632	   0.433	      55
 5.652	   0.480	      61
 5.672	   0.527	      67
 5.692	   0.583	      74
 5.712	   0.622	      79
 5.732	   0.551	      70
 5.752	   0.708	      90
 5.772	   0.535	      68
 5.792	   0.630	      80
 5.812	   0.527	      67
 5.832	   0.527	      67
 5.852	   0.433	      55
 5.872	   0.441	      56
 5.892	   0.457	      58
 5.912	   0.394	      50
 5.932	   0.464	      59
 5.952	   0.362	      46
 5.972	   0.354	      45
 5.992	   0.339	      43
 6.012	   0.464	      59
 6.032	   0.417	      53
 6.052	   0.394	      50
 6.072	   0.693	      88
 6.092	   0.527	      67
 6.112	   0.708	      90
 6.132	   0.685	      87
 6.152	   0.913	     116
 6.172	   1.141	     145
 6.192	   1.157	     147
 6.212	   1.267	     161
 6.232	   1.425	     181
 6.252	   1.448	     184
 6.272	   1.716	     218
 6.292	   2.102	     267
 6.312	   1.866	     237
 6.332	   1.842	     234
 6.352	   1.889	     240
 6.372	   1.661	     211
 6.392	   1.637	     208
 6.412	   1.535	     195
 6.432	   1.559	     198
 6.452	   1.299	     165
 6.472	   1.267	     161
 6.492	   1.008	     128
 6.512	   1.173	     149
 6.532	   0.945	     120
 6.552	   0.834	     106
 6.572	   0.945	     120
 6.592	   0.614	      78
 6.612	   0.646	      82
 6.632	   0.606	      77
 6.652	   0.724	      92
 6.672	   0.622	      79
 6.692	   0.583	      74
 6.712	   0.614	      78
 6.732	   0.669	      85
 6.752	   0.583	      74
 6.772	   0.583	      74
 6.792	   0.614	      78
 6.812	   0.740	      94
 6.832	   0.693	      88
 6.852	   0.779	      99
 6.872	   0.701	      89
 6.892	   0.724	      92
 6.912	   0.850	     108
 6.932	   0.937	     119
 6.952	   0.764	      97
 6.972	   0.976	     124
 6.992	   0.984	     125
 7.012	   1.157	     147
 7.032	   1.220	     155
