keV	cps	count
14.375	   0.245	      31
14.395	   0.261	      33
14.415	   0.316	      40
14.435	   0.277	      35
14.455	   0.309	      39
14.475	   0.245	      31
14.495	   0.285	      36
14.515	   0.364	      46
14.535	   0.301	      38
14.555	   0.214	      27
14.575	   0.214	      27
14.595	   0.229	      29
14.615	   0.119	      15
14.635	   0.206	      26
14.655	   0.079	      10
14.675	   0.095	      12
14.695	   0.047	       6
14.715	   0.047	       6
14.736	   0.063	       8
14.756	   0.047	       6
14.776	   0.047	       6
14.796	   0.079	      10
14.816	   0.032	       4
14.836	   0.047	       6
14.856	   0.079	      10
14.876	   0.024	       3
14.896	   0.095	      12
14.916	   0.063	       8
14.936	   0.040	       5
14.956	   0.103	      13
14.976	   0.142	      18
14.996	   0.103	      13
15.016	   0.087	      11
15.036	   0.135	      17
15.056	   0.103	      13
15.076	   0.087	      11
15.096	   0.087	      11
15.116	   0.055	       7
15.136	   0.111	      14
15.156	   0.103	      13
15.176	   0.119	      15
15.196	   0.103	      13
15.216	   0.095	      12
15.236	   0.119	      15
15.256	   0.127	      16
15.276	   0.079	      10
15.296	   0.111	      14
15.316	   0.103	      13
15.336	   0.079	      10
15.356	   0.087	      11
15.376	   0.079	      10
15.396	   0.087	      11
15.416	   0.071	       9
15.436	   0.063	       8
15.456	   0.047	       6
15.476	   0.063	       8
15.496	   0.032	       4
15.516	   0.071	       9
15.536	   0.055	       7
15.556	   0.055	       7
15.576	   0.032	       4
15.596	   0.040	       5
15.616	   0.055	       7
15.636	   0.055	       7
15.656	   0.055	       7
15.676	   0.055	       7
15.696	   0.119	      15
15.716	   0.150	      19
15.736	   0.071	       9
15.756	   0.079	      10
15.776	   0.135	      17
15.796	   0.261	      33
15.816	   0.396	      50
15.836	   0.427	      54
15.856	   0.585	      74
15.876	   0.878	     111
15.896	   0.989	     125
15.916	   1.084	     137
15.936	   1.155	     146
15.956	   1.519	     192
15.976	   1.772	     224
15.996	   2.105	     266
16.016	   2.318	     293
16.036	   2.389	     302
16.056	   2.627	     332
16.076	   2.698	     341
16.096	   2.492	     315
16.116	   2.753	     348
16.136	   2.263	     286
16.156	   2.342	     296
16.176	   2.113	     267
16.196	   2.318	     293
16.216	   1.899	     240
16.236	   1.472	     186
16.256	   1.551	     196
16.276	   1.147	     145
16.296	   0.894	     113
16.316	   0.720	      91
16.336	   0.673	      85
16.356	   0.451	      57
16.376	   0.404	      51
16.396	   0.364	      46
16.416	   0.253	      32
16.436	   0.182	      23
16.456	   0.174	      22
16.476	   0.127	      16
16.496	   0.142	      18
16.516	   0.087	      11
16.536	   0.127	      16
16.556	   0.055	       7
16.576	   0.071	       9
16.596	   0.111	      14
16.616	   0.103	      13
16.636	   0.087	      11
16.656	   0.111	      14
16.676	   0.182	      23
16.696	   0.229	      29
16.716	   0.348	      44
16.736	   0.269	      34
16.756	   0.459	      58
16.776	   0.396	      50
16.796	   0.404	      51
16.816	   0.404	      51
16.836	   0.546	      69
16.856	   0.633	      80
16.876	   0.720	      91
16.896	   0.688	      87
16.916	   0.736	      93
16.936	   0.854	     108
16.956	   0.870	     110
16.976	   0.854	     108
16.996	   0.862	     109
17.016	   0.799	     101
17.036	   0.704	      89
17.056	   0.633	      80
17.077	   0.704	      89
17.097	   0.633	      80
17.117	   0.657	      83
17.137	   0.625	      79
17.157	   0.593	      75
17.177	   0.570	      72
17.197	   0.657	      83
17.217	   0.593	      75
17.237	   0.791	     100
17.257	   0.728	      92
17.277	   0.965	     122
17.297	   0.997	     126
17.317	   1.171	     148
17.337	   1.147	     145
17.357	   1.321	     167
17.377	   1.424	     180
17.397	   1.598	     202
17.417	   1.875	     237
17.437	   1.915	     242
17.457	   1.780	     225
17.477	   1.867	     236
17.497	   1.836	     232
17.517	   1.749	     221
17.537	   1.662	     210
17.557	   1.377	     174
17.577	   1.400	     177
17.597	   1.290	     163
17.617	   1.036	     131
17.637	   0.831	     105
17.657	   0.815	     103
17.677	   0.530	      67
17.697	   0.546	      69
17.717	   0.498	      63
17.737	   0.348	      44
17.757	   0.388	      49
17.777	   0.348	      44
17.797	   0.222	      28
17.817	   0.285	      36
17.837	   0.214	      27
17.857	   0.190	      24
17.877	   0.261	      33
17.897	   0.198	      25
17.917	   0.182	      23
17.937	   0.182	      23
17.957	   0.150	      19
17.977	   0.158	      20
17.997	   0.150	      19
18.017	   0.135	      17
18.037	   0.063	       8
18.057	   0.087	      11
18.077	   0.190	      24
18.097	   0.103	      13
18.117	   0.119	      15
18.137	   0.135	      17
18.157	   0.158	      20
18.177	   0.103	      13
18.197	   0.135	      17
18.217	   0.166	      21
18.237	   0.142	      18
18.257	   0.119	      15
18.277	   0.111	      14
18.297	   0.158	      20
18.317	   0.150	      19
18.337	   0.127	      16
18.357	   0.198	      25
18.377	   0.166	      21
18.397	   0.150	      19
18.417	   0.142	      18
18.437	   0.158	      20
18.457	   0.174	      22
18.477	   0.222	      28
18.497	   0.182	      23
18.517	   0.190	      24
18.537	   0.174	      22
18.557	   0.229	      29
18.577	   0.245	      31
18.597	   0.206	      26
18.617	   0.229	      29
18.637	   0.245	      31
18.657	   0.253	      32
18.677	   0.222	      28
18.697	   0.206	      26
18.717	   0.253	      32
18.737	   0.277	      35
18.757	   0.269	      34
18.777	   0.277	      35
18.797	   0.237	      30
18.817	   0.285	      36
18.837	   0.396	      50
18.857	   0.356	      45
18.877	   0.404	      51
18.897	   0.340	      43
18.917	   0.396	      50
18.937	   0.348	      44
18.957	   0.380	      48
18.977	   0.451	      57
18.997	   0.380	      48
19.017	   0.411	      52
19.037	   0.419	      53
19.057	   0.261	      33
19.077	   0.427	      54
19.097	   0.364	      46
19.117	   0.380	      48
19.137	   0.332	      42
19.157	   0.419	      53
19.177	   0.396	      50
19.197	   0.372	      47
19.217	   0.364	      46
19.237	   0.388	      49
19.257	   0.435	      55
19.277	   0.380	      48
19.297	   0.253	      32
19.317	   0.285	      36
19.337	   0.348	      44
19.357	   0.301	      38
19.377	   0.316	      40
19.397	   0.356	      45
19.418	   0.301	      38
19.438	   0.427	      54
19.458	   0.372	      47
19.478	   0.356	      45
19.498	   0.435	      55
19.518	   0.546	      69
19.538	   0.522	      66
19.558	   0.435	      55
19.578	   0.491	      62
19.598	   0.451	      57
19.618	   0.506	      64
19.638	   0.459	      58
19.658	   0.459	      58
19.678	   0.483	      61
19.698	   0.396	      50
19.718	   0.411	      52
19.738	   0.301	      38
19.758	   0.316	      40
19.778	   0.316	      40
19.798	   0.285	      36
19.818	   0.372	      47
19.838	   0.404	      51
19.858	   0.340	      43
19.878	   0.356	      45
19.898	   0.435	      55
19.918	   0.498	      63
19.938	   0.427	      54
19.958	   0.554	      70
19.978	   0.712	      90
19.998	   0.815	     103
20.018	   0.815	     103
20.038	   0.894	     113
20.058	   0.783	      99
20.078	   1.226	     155
20.098	   1.013	     128
20.118	   1.171	     148
20.138	   1.337	     169
20.158	   1.226	     155
20.178	   1.495	     189
20.198	   1.385	     175
20.218	   1.337	     169
20.238	   1.108	     140
20.258	   1.068	     135
20.278	   1.155	     146
20.298	   1.203	     152
20.318	   0.894	     113
20.338	   0.791	     100
20.358	   0.767	      97
20.378	   0.728	      92
20.398	   0.625	      79
20.418	   0.491	      62
20.438	   0.364	      46
20.458	   0.427	      54
20.478	   0.380	      48
20.498	   0.388	      49
20.518	   0.261	      33
20.538	   0.237	      30
20.558	   0.285	      36
20.578	   0.198	      25
20.598	   0.206	      26
20.618	   0.261	      33
20.638	   0.206	      26
20.658	   0.222	      28
20.678	   0.190	      24
20.698	   0.166	      21
20.718	   0.182	      23
20.738	   0.237	      30
20.758	   0.190	      24
20.778	   0.245	      31
20.798	   0.190	      24
20.818	   0.309	      39
20.838	   0.245	      31
20.858	   0.277	      35
20.878	   0.245	      31
20.898	   0.364	      46
20.918	   0.261	      33
20.938	   0.190	      24
20.958	   0.253	      32
20.978	   0.245	      31
20.998	   0.190	      24
21.018	   0.214	      27
21.038	   0.190	      24
21.058	   0.293	      37
21.078	   0.301	      38
21.098	   0.253	      32
21.118	   0.269	      34
21.138	   0.253	      32
21.158	   0.380	      48
21.178	   0.316	      40
21.198	   0.348	      44
21.218	   0.253	      32
21.238	   0.301	      38
21.258	   0.222	      28
21.278	   0.380	      48
21.298	   0.285	      36
21.318	   0.245	      31
21.338	   0.388	      49
21.358	   0.301	      38
21.378	   0.348	      44
21.398	   0.222	      28
21.418	   0.198	      25
21.438	   0.285	      36
21.458	   0.316	      40
21.478	   0.340	      43
21.498	   0.324	      41
21.518	   0.332	      42
21.538	   0.324	      41
21.558	   0.332	      42
21.578	   0.301	      38
21.598	   0.356	      45
21.618	   0.222	      28
21.638	   0.269	      34
21.658	   0.269	      34
21.678	   0.245	      31
21.698	   0.214	      27
21.718	   0.182	      23
21.738	   0.190	      24
21.759	   0.190	      24
21.779	   0.269	      34
21.799	   0.174	      22
21.819	   0.245	      31
21.839	   0.293	      37
21.859	   0.316	      40
21.879	   0.261	      33
21.899	   0.237	      30
21.919	   0.150	      19
21.939	   0.150	      19
21.959	   0.198	      25
21.979	   0.198	      25
21.999	   0.253	      32
22.019	   0.190	      24
22.039	   0.214	      27
22.059	   0.324	      41
22.079	   0.190	      24
22.099	   0.190	      24
22.119	   0.237	      30
22.139	   0.198	      25
22.159	   0.198	      25
22.179	   0.190	      24
22.199	   0.135	      17
22.219	   0.253	      32
22.239	   0.277	      35
22.259	   0.174	      22
