keV	cps	count
21.078	   0.827	     103
21.098	   0.803	     100
21.118	   0.835	     104
21.138	   0.899	     112
21.158	   0.794	      99
21.178	   0.803	     100
21.198	   0.987	     123
21.218	   0.746	      93
21.238	   0.867	     108
21.258	   0.746	      93
21.278	   0.971	     121
21.298	   0.907	     113
21.318	   0.907	     113
21.338	   0.923	     115
21.358	   0.827	     103
21.378	   1.124	     140
21.398	   1.019	     127
21.418	   0.875	     109
21.438	   1.019	     127
21.458	   1.003	     125
21.478	   0.867	     108
21.498	   0.770	      96
21.518	   0.754	      94
21.538	   0.794	      99
21.558	   0.923	     115
21.578	   0.819	     102
21.598	   0.971	     121
21.618	   0.778	      97
21.638	   0.746	      93
21.658	   0.915	     114
21.678	   0.706	      88
21.698	   0.891	     111
21.718	   0.690	      86
21.738	   0.730	      91
21.759	   0.811	     101
21.779	   0.674	      84
21.799	   0.642	      80
21.819	   0.714	      89
21.839	   0.706	      88
21.859	   0.698	      87
21.879	   0.674	      84
21.899	   0.674	      84
21.919	   0.698	      87
21.939	   0.626	      78
21.959	   0.634	      79
21.979	   0.674	      84
21.999	   0.690	      86
22.019	   0.722	      90
22.039	   0.626	      78
22.059	   0.602	      75
22.079	   0.714	      89
22.099	   0.626	      78
22.119	   0.634	      79
22.139	   0.682	      85
22.159	   0.546	      68
22.179	   0.586	      73
22.199	   0.586	      73
22.219	   0.738	      92
